#,apiName,displayName,backingDatasetRID,properties,status
96,InsightTypeResponseV2,Insight Type Response v2,ri.foundry.main.dataset.da2b703d-57d8-42b8-8457-01366c68cbef,13,experimental
97,InsightsSummaryDownloadForFunnelboxParquetFormat,Insights Summary,ri.foundry.main.dataset.da4da17a-c6f9-46d2-8e9b-4860d02b12b5,2,experimental
98,InternalResourceTracking,[Internal] Resource Tracking,ri.foundry.main.dataset.e2cf180b-3d7b-4ab4-ab0b-3bdf51b7be85,25,experimental
99,Invoice,Invoice,ri.foundry.main.dataset.1a600bc3-99da-487f-8064-b55c0ab4d812 | ri.foundry.main.dataset.494a46dd-23d7-4efb-9b55-12fca63daca9,30,experimental
100,InvoiceComment,Invoice Comment,ri.foundry.main.dataset.3dc45535-d626-4e55-92ef-e1f6d5a6b82c,10,experimental
101,InvoiceDebtCollectionActions,Invoice Debt Collection Actions,ri.foundry.main.dataset.397bd125-cda9-470c-9241-3727c391d1c8,9,experimental
102,InvoiceReminder,Invoice Reminder,ri.foundry.main.dataset.16cf13a2-7a52-44ca-98ca-3a102929cc04,13,experimental
103,JanaDraft,Ki-Jana Draft,ri.foundry.main.dataset.8e135e4e-593f-44b9-bad2-012bd473e438,15,experimental
104,JanaStaticData,Jana Static Data Unioned,ri.foundry.main.dataset.184f957d-bc5c-4c96-b15d-c026c2edf24b,3,experimental
105,KbDocument,[KB] Document,ri.foundry.main.dataset.53f1ea26-2b7b-4372-abbc-be470a197811,15,active
106,KbDocumentChunk,[KB] Document Chunk,ri.foundry.main.dataset.07ba51c1-d896-4d82-ae83-1748596af0ef,15,experimental
107,KiJanaEmailOfferDraft,KI-Jana Email Offer Draft,ri.foundry.main.dataset.dd3fc2ed-4817-4d53-b0f7-f868f00bc08f,15,experimental
108,KnowledgeBaseQA,[KB] Knowledge Base Q&A,ri.foundry.main.dataset.ec868781-2809-4b3e-955d-7f91cc1d2579,7,experimental
109,LaschaOrders,Lascha Orders,ri.foundry.main.dataset.d3515daf-e3d2-4046-85aa-87fbd4f126b2,11,experimental
110,LatestConnectingCallTranscript,Latest Connecting Call Transcript,ri.foundry.main.dataset.0a93156c-217e-4fdb-a960-e1c7c3b0647f,26,experimental
111,LeadClose,Lead [Close],ri.foundry.main.dataset.46c8919b-2a8f-45b9-9c45-078a4521484f,23,active
112,LeadKickscale,Lead [Kickscale],ri.foundry.main.dataset.cd5d0f42-fc70-4bbf-acd7-09a02295b054,3,active
113,LeadMindsetStages,Mindset Stages,ri.foundry.main.dataset.787aeb26-fe5c-4693-969b-4a529ac58225,3,experimental
114,LeadMindsetStagesv2,Lead Mindset Stages,ri.foundry.main.dataset.d5296a69-f44a-48db-b21a-0fc040c5eca7,9,experimental
115,LeadProfile,Lead Metric,ri.foundry.main.dataset.620bdd1f-2c01-4559-b5fe-f40dbc0fa381,34,experimental
116,LeadTypedFacts,[Typed Facts] Lead,ri.foundry.main.dataset.64468eb0-2ecc-479d-9aae-c38e6f747d6c,17,active
117,LogAssignLeadToWahaConversation,[Log] Assign Lead to Conversation,ri.foundry.main.dataset.4c59114d-e755-4e6e-a093-015275ad0bf1,10,experimental
118,LogCreateFluentSupportTicketViaWebhook,[Log] Create Fluent Support Ticket via Webhook,ri.foundry.main.dataset.54461cc1-a199-4b37-bbee-9afbe96c30e7,15,experimental
119,LogCreateSubscriptionPause,[Log] Create Subscription Pause,ri.foundry.main.dataset.3e4a3098-149a-4531-98e6-0648c50e152e,10,experimental
120,LogCreateSummitProfileFromId,[Log] Create Summit Profile FULL,ri.foundry.main.dataset.05b4ff0f-2b7e-42d4-92bd-973a9815c0ae,10,experimental
121,LogDeleteMultipleSummitProfile,[Log] Delete multiple Summit Profiles,ri.foundry.main.dataset.21c2d9ff-596d-472d-895f-a9107b77ddb1,10,experimental
122,LogDeleteSubscriptionPause,[Log] Delete Subscription Pause,ri.foundry.main.dataset.96793b95-d060-4113-aa0e-93df2dda6433,8,experimental
123,LogDevCreteFluentSupportTicket,[Log] [DEV] Crete Fluent Support Ticket,ri.foundry.main.dataset.07a1db8c-6433-47ff-8c3f-fcab9a8e438a,13,experimental
124,LogEditSubscriptionProgramCohort,[Log] Edit Subscription's program & cohort,ri.foundry.main.dataset.46d66d05-ef0a-4f23-95ff-8a061d2564c9,9,experimental
125,LogFluentApiRespondTicket,[Log] [Fluent] API Respond Ticket,ri.foundry.main.dataset.83e4b0be-b53e-4f25-a2e2-c147ed985374,12,experimental
